,user,txt,dt,user_location
0,bobbyi2000,@LGG94104439 @NYPostOpinion I feel the government needs to de-schedule marijuana and then decriminalize it.  Then let the states decide.,Sun Jul 29 23:54:36 +0000 2018,"Palm City, FL"
1,TrumpisSatan1,"RT @thomaskaine5: Beto O'Rourke, independent minded democrat running against Ted Cruz, stands for  1) getting corporate influence &amp; $$ out…",Sun Jul 29 23:50:05 +0000 2018,Outside the Trump Nazi Reich
2,cathipatpersist,"RT @thomaskaine5: Beto O'Rourke, independent minded democrat running against Ted Cruz, stands for  1) getting corporate influence &amp; $$ out…",Sun Jul 29 23:48:53 +0000 2018,Texas...thankfully a blue part
3,CaronTreatment,"#Marijuana-related emergency room visits for boys ages 15 to 17 grew from 19,148 visits in 2005 to 29,424 visits in… https://t.co/Kvi1tyjmSM",Sun Jul 29 23:45:01 +0000 2018,"PA, FL"
4,FreddaLMartinez,"RT @Florida_MJ: Oklahoma Voters Legalize Marijuana For Medical Use https://t.co/keyPLGCCZZ, see more https://t.co/RFi21BV7uk",Sun Jul 29 23:41:50 +0000 2018,"Albuquerque, NM"
5,liberalheatfan,RT @thomaskaine5: MARIJUANA POLL:  Do YOU think all FEDERAL and state laws against marijuana should be repealed?  VOTE 1) If you believe ma…,Sun Jul 29 23:41:29 +0000 2018,"Pembroke Pines, FL"
6,collison_edna,"RT @thomaskaine5: Beto O'Rourke, independent minded democrat running against Ted Cruz, stands for  1) getting corporate influence &amp; $$ out…",Sun Jul 29 23:41:10 +0000 2018,
7,Bird00414864,RT @thomaskaine5: Beto O'Rourke's gained a lot of voter support because he wants marijuana legalization @SenSherrodBrown  @SenTinaSmith   @…,Sun Jul 29 23:40:33 +0000 2018,
8,thomaskaine5,RT @thomaskaine5: Beto O'Rourke's gained a lot of voter support because he wants marijuana legalization @SenSherrodBrown  @SenTinaSmith   @…,Sun Jul 29 23:39:59 +0000 2018,"Miami Beach, FL"
9,thomaskaine5,"RT @thomaskaine5: WOW:  Dem Beto O'Rourke, currently House representative of El Paso district, is running a MODEL GRASS ROOTS campaign agai…",Sun Jul 29 23:39:40 +0000 2018,"Miami Beach, FL"
10,thomaskaine5,"RT @thomaskaine5: Beto O'Rourke, independent minded democrat running against Ted Cruz, stands for  1) getting corporate influence &amp; $$ out…",Sun Jul 29 23:37:20 +0000 2018,"Miami Beach, FL"
11,CRichASI,Could a New Bill Take Politics Out of Pot? https://t.co/vHLUyCsV4G via @RollingStone,Sun Jul 29 23:25:04 +0000 2018,"Merritt Island, Florida"
12,blvkporcelain,your tongue on my tongue is more like lsd than any other thing no other drug compares to you tho marijuana is cool… https://t.co/KkiaITQYw7,Sun Jul 29 23:19:48 +0000 2018,"Tampa, FL"
13,DrugTestNews,"Recreational marijuana petition surpasses signature requirement, organizers say https://t.co/TfYX61n9ez",Sun Jul 29 23:16:29 +0000 2018,"Boca Raton, FL"
14,HustleBoiMuzik,RT @pamelacory: RT @ReaderFaves The Laredo marijuana Racket. Read the True Crime blog. ➡https://t.co/Dzo7zW5Ln7  https://t.co/dqt1SQw75a #a…,Sun Jul 29 23:13:29 +0000 2018,East Saint Louis IL
15,weedcookiemons1,"RT @MyCannaMD: Wondering where you can and can't use #MedicalMarijuana? Check out today's post, drawn straight from Florida's Amendment 2 a…",Sun Jul 29 23:11:49 +0000 2018,
16,pamelacory,RT @ReaderFaves The Laredo marijuana Racket. Read the True Crime blog. ➡https://t.co/Dzo7zW5Ln7  https://t.co/dqt1SQw75a #amreading,Sun Jul 29 23:11:22 +0000 2018,"Miami, FL"
17,vladyhidalgo,"RT @knoxmedical: For an FDA study, the authors surveyed 16,000 Americans about their attitudes toward #cannabis. The results showed 81% of…",Sun Jul 29 22:59:26 +0000 2018,valencia-venezuela
18,tampa1_,"@realDonaldTrump Change the narrative,  legalise marijuana",Sun Jul 29 22:50:09 +0000 2018,"Tampa, FL"
19,EvidenceRobot,"RT @MatthewSchabath: STUDY:  Low-strength evidence suggests that smoking #marijuana is associated with cough, sputum production, and wheezi…",Sun Jul 29 22:16:45 +0000 2018,"Belfast, Northern Ireland"
20,MatthewSchabath,"STUDY:  Low-strength evidence suggests that smoking #marijuana is associated with cough, sputum production, and whe… https://t.co/cQtcXZ1HSs",Sun Jul 29 22:03:14 +0000 2018,"Tampa, FL"
21,Blanch344,@frankbumb @PoorQuentyn Hello fellow cool kids! Where can I partake of some marijuana cigarettes or pills? https://t.co/jwpk6SuAlA,Sun Jul 29 22:02:48 +0000 2018,"Sault Ste Marie, MI"
22,Sailingwindward,HOW TO get Sanctuary cities to comply with immigration law: The DOJ could target sanctuary cities in states that le… https://t.co/OWZ5GRl0ZC,Sun Jul 29 22:01:51 +0000 2018,"Jupiter, FL"
23,OPresenceMgr,"Online Presence Manager services for Medical Marijuana Clinics, Dispensaries, Doctors, and Growers… https://t.co/63H28hiaxx",Sun Jul 29 21:59:51 +0000 2018,"Tampa, FL"
24,AmazngAuthors,RT @ReaderFaves The Laredo marijuana Racket. Read the True Crime blog. ➡https://t.co/fRxGYb7JLw  https://t.co/Txj3pHgi4h #amreading,Sun Jul 29 21:58:20 +0000 2018,Minnesota
25,squalllive,"So, is recreational marijuana use legal in the nation's capitol?  That would explain out.",Sun Jul 29 21:46:18 +0000 2018,"Panama City, Florida"
26,squalllive,"Government employees demand another $7,340,000.00 to administer the medical-marijuana program while citizens demand… https://t.co/WZ5y3VVNWW",Sun Jul 29 21:30:13 +0000 2018,"Panama City, Florida"
27,LCSTORM,"I voted @Countable on ""Should Marijuana be Regulated by States  https://t.co/l0a1tJUPsf",Sun Jul 29 21:13:16 +0000 2018,"Daytona Beach, Florida"
28,tampa1_,@realDonaldTrump Legalize marijuana please sir,Sun Jul 29 20:49:46 +0000 2018,"Tampa, FL"
